"NGA","PolID","Time","PropCoded","PolPop","PolTerr","CapPop","levels","government","infrastr","writing","texts","money","irep","FreqLR","ConformityLR","FreqWR","ConformityWR","FreqFR","ConformityFR","FreqER","ConformityER","FreqDR","ConformityDR","MHG","BSP","WrittenRecords","ReligiousHier","GeneralMoralisticPunishment","MoralisingHighGods","MoralisingGods","DoctrinalMode","Writing"
"Big Island Hawaii","Hawaii1",1000,76.5,4.06101674826701,3.21281478654347,1.93335729890195,0.989518864053398,0.0909090909090909,0.1,0.1,0.1,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,NA,0,0,0,NA,0
"Big Island Hawaii","Hawaii2",1200,86.3,3.58539928786271,3.26013177997318,2.28301207365923,1.85114895136181,0.0909090909090909,0.0909090909090909,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,NA,0,0,0,NA,0
"Big Island Hawaii","Hawaii2",1300,86.3,3.85727377057996,3.26013177997318,3.08142877803398,1.5110183452253,0.0909090909090909,0.0909090909090909,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,NA,0,0,0,NA,0
"Big Island Hawaii","Hawaii2",1400,86.3,4.22597397226491,3.26013177997318,3.4429195769602,2.33643779050481,0.0909090909090909,0.181818181818182,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,NA,0,0,0,NA,0
"Big Island Hawaii","Hawaii2",1500,86.3,4.65475888351829,3.26013177997318,3.4210313958127,2.09602395845403,0.172727272727273,0.181818181818182,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,NA,0,0,0,NA,0
"Big Island Hawaii","Hawaii2",1600,80.4,3.99777916665814,3.26013177997318,3.63774709184885,1.86331742360367,0.09,0.1,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,NA,0,0,0,NA,0
"Big Island Hawaii","Hawaii3",1700,94.1,5.16753710458149,4.03685373739367,4.05441970933416,2.80039568040063,0.227272727272727,0.245454545454545,0.166666666666667,0,1.8,1,2,NA,6,NA,NA,NA,2,NA,NA,NA,0.1,0.1,0,2,0,0,0,1,0
"Big Island Hawaii","USKameh",1800,92.2,4.99256563450933,4.19556264878693,3.60550247490503,2.7630808808874,0.35,0.172727272727273,0.166666666666667,0,1.8,1,2,NA,6,NA,NA,NA,2,NA,NA,NA,2,0.9,0,2,1,0,1,1,0
"Cahokia","USMisEW",-600,88.2,1.62055889445678,1.19745630366584,1.6229884919029,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,1,0,0,0,NA,0
"Cahokia","USMisMW",-100,88.2,1.57044330755729,0.457124126979402,1.63178803400923,1.21021811006658,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,1,0,0,0,NA,0
